step,R_over_R0,R_metres,R_volume_over_R0,t_over_tc
3,1.079128,1.079128e-03,1.039629,327944.838636
6,1.079127,1.079127e-03,1.039629,655889.677271
9,1.079124,1.079124e-03,1.039629,983834.515907
12,1.079121,1.079121e-03,1.039628,1311779.354543
15,1.079117,1.079117e-03,1.039628,1639724.193179
18,1.079111,1.079111e-03,1.039627,1967669.031814
21,1.079105,1.079105e-03,1.039626,2295613.870450
24,1.079097,1.079097e-03,1.039625,2623558.709086
27,1.079087,1.079087e-03,1.039624,2951503.547722
30,1.079076,1.079076e-03,1.039622,3279448.386357
33,1.079063,1.079063e-03,1.039621,3607393.224993
36,1.079048,1.079048e-03,1.039619,3935338.063629
39,1.079032,1.079032e-03,1.039617,4263282.902264
42,1.079012,1.079012e-03,1.039615,4591227.740900
45,1.078991,1.078991e-03,1.039613,4919172.579536
48,1.078967,1.078967e-03,1.039611,5247117.418172
51,1.078940,1.078940e-03,1.039608,5575062.256807
54,1.078911,1.078911e-03,1.039605,5903007.095443
57,1.078877,1.078877e-03,1.039601,6230951.934079
60,1.078841,1.078841e-03,1.039594,6558896.772715
63,1.078801,1.078801e-03,1.039578,6886841.611350
66,1.078756,1.078756e-03,1.039546,7214786.449986
69,1.078708,1.078708e-03,1.039493,7542731.288622
72,1.078655,1.078655e-03,1.039423,7870676.127257
75,1.078597,1.078597e-03,1.039335,8198620.965893
78,1.078534,1.078534e-03,1.039236,8526565.804529
81,1.078466,1.078466e-03,1.039111,8854510.643165
84,1.078391,1.078391e-03,1.038963,9182455.481800
87,1.078311,1.078311e-03,1.038791,9510400.320436
90,1.078224,1.078224e-03,1.038608,9838345.159072
93,1.078131,1.078131e-03,1.038403,10166289.997708
96,1.078030,1.078030e-03,1.038180,10494234.836343
99,1.077922,1.077922e-03,1.037936,10822179.674979
102,1.077806,1.077806e-03,1.037671,11150124.513615
105,1.077681,1.077681e-03,1.037379,11478069.352250
108,1.077548,1.077548e-03,1.037061,11806014.190886
111,1.077406,1.077406e-03,1.036728,12133959.029522
114,1.077254,1.077254e-03,1.036384,12461903.868158
117,1.077092,1.077092e-03,1.036020,12789848.706793
120,1.076919,1.076919e-03,1.035644,13117793.545429
123,1.076736,1.076736e-03,1.035239,13445738.384065
126,1.076541,1.076541e-03,1.034816,13773683.222700
129,1.076335,1.076335e-03,1.034376,14101628.061336
132,1.076116,1.076116e-03,1.033912,14429572.899972
135,1.075884,1.075884e-03,1.033434,14757517.738608
138,1.075638,1.075638e-03,1.032929,15085462.577243
141,1.075379,1.075379e-03,1.032411,15413407.415879
144,1.075105,1.075105e-03,1.031879,15741352.254515
147,1.074816,1.074816e-03,1.031333,16069297.093151
150,1.074511,1.074511e-03,1.030773,16397241.931786
153,1.074190,1.074190e-03,1.030199,16725186.770422
156,1.073852,1.073852e-03,1.029605,17053131.609058
159,1.073496,1.073496e-03,1.028997,17381076.447693
162,1.073122,1.073122e-03,1.028374,17709021.286329
165,1.072730,1.072730e-03,1.027737,18036966.124965
168,1.072317,1.072317e-03,1.027086,18364910.963601
171,1.071885,1.071885e-03,1.026420,18692855.802236
174,1.071432,1.071432e-03,1.025740,19020800.640872
177,1.070957,1.070957e-03,1.025046,19348745.479508
180,1.070460,1.070460e-03,1.024338,19676690.318144
183,1.069940,1.069940e-03,1.023616,20004635.156779
186,1.069396,1.069396e-03,1.022879,20332579.995415
189,1.068827,1.068827e-03,1.022129,20660524.834051
192,1.068233,1.068233e-03,1.021361,20988469.672686
195,1.067613,1.067613e-03,1.020578,21316414.511322
198,1.066966,1.066966e-03,1.019781,21644359.349958
201,1.066291,1.066291e-03,1.018972,21972304.188594
204,1.065587,1.065587e-03,1.018150,22300249.027229
207,1.064855,1.064855e-03,1.017315,22628193.865865
210,1.064092,1.064092e-03,1.016468,22956138.704501
213,1.063298,1.063298e-03,1.015610,23284083.543137
216,1.062473,1.062473e-03,1.014739,23612028.381772
219,1.061615,1.061615e-03,1.013858,23939973.220408
222,1.060724,1.060724e-03,1.012965,24267918.059044
225,1.059799,1.059799e-03,1.012062,24595862.897679
228,1.058840,1.058840e-03,1.011148,24923807.736315
231,1.057845,1.057845e-03,1.010224,25251752.574951
234,1.056813,1.056813e-03,1.009291,25579697.413587
237,1.055745,1.055745e-03,1.008349,25907642.252222
240,1.054640,1.054640e-03,1.007397,26235587.090858
243,1.053496,1.053496e-03,1.006438,26563531.929494
246,1.052313,1.052313e-03,1.005469,26891476.768130
249,1.051091,1.051091e-03,1.004486,27219421.606765
252,1.049829,1.049829e-03,1.003497,27547366.445401
255,1.048526,1.048526e-03,1.002500,27875311.284037
258,1.047182,1.047182e-03,1.001498,28203256.122672
261,1.045796,1.045796e-03,1.000489,28531200.961308
264,1.044368,1.044368e-03,0.999476,28859145.799944
267,1.042898,1.042898e-03,0.998458,29187090.638580
270,1.041384,1.041384e-03,0.997436,29515035.477215
273,1.039828,1.039828e-03,0.996410,29842980.315851
276,1.038227,1.038227e-03,0.995381,30170925.154487
279,1.036583,1.036583e-03,0.994349,30498869.993123
282,1.034894,1.034894e-03,0.993315,30826814.831758
285,1.033161,1.033161e-03,0.992279,31154759.670394
288,1.031384,1.031384e-03,0.991241,31482704.509030
291,1.029562,1.029562e-03,0.990202,31810649.347665
294,1.027695,1.027695e-03,0.989162,32138594.186301
297,1.025784,1.025784e-03,0.988122,32466539.024937
300,1.023828,1.023828e-03,0.987082,32794483.863573
303,1.021828,1.021828e-03,0.986044,33122428.702208
306,1.019784,1.019784e-03,0.985006,33450373.540844
309,1.017697,1.017697e-03,0.983949,33778318.379480
312,1.015566,1.015566e-03,0.982860,34106263.218116
315,1.013393,1.013393e-03,0.981767,34434208.056751
318,1.011178,1.011178e-03,0.980675,34762152.895387
321,1.008922,1.008922e-03,0.979584,35090097.734023
324,1.006625,1.006625e-03,0.978496,35418042.572658
327,1.004289,1.004289e-03,0.977409,35745987.411294
330,1.001913,1.001913e-03,0.976326,36073932.249930
333,0.999501,9.995007e-04,0.975245,36401877.088566
336,0.997051,9.970512e-04,0.974168,36729821.927201
339,0.994566,9.945660e-04,0.973094,37057766.765837
342,0.992046,9.920463e-04,0.972025,37385711.604473
345,0.989493,9.894932e-04,0.970928,37713656.443109
348,0.986908,9.869078e-04,0.969807,38041601.281744
351,0.984291,9.842914e-04,0.968691,38369546.120380
354,0.981645,9.816451e-04,0.967579,38697490.959016
357,0.978970,9.789702e-04,0.966472,39025435.797651
360,0.976268,9.762679e-04,0.965371,39353380.636287
363,0.973539,9.735395e-04,0.964274,39681325.474923
366,0.970786,9.707862e-04,0.963184,40009270.313559
369,0.968009,9.680094e-04,0.962100,40337215.152194
372,0.965210,9.652103e-04,0.961022,40665159.990830
